codigo;filial;empresa;descricao;fornecedor;tributacao;status;curva;b_o_;comprador;rota;forecast;vendido;media;classe;estoque;po_compas;transferencias;estoque_total;CMV;politica;periodo
1418;1024;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1024;0;4;0;MED;0;0;0;0;1,00;30;S1
1418;1023;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1009->1023;0;139;0;MED;0;0;9;9;1,00;30;S1
1418;1021;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1021;62;4;77;MED;105;2;0;107;122,96;30;S1
1418;1010;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1010;0;0;0;MED;0;0;0;0;1,00;30;S1
1418;1009;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1009;216;65;269;MED;234;0;0;234;122,97;30;S1
1418;1006;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003->1006;474;0;589;MED;0;22;0;22;1,00;30;S1
1418;1003;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003;0;0;0;MED;462;0;0;462;122,97;30;S1
1418;1002;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1002;0;1;0;MED;0;0;0;0;1,00;30;S1
1418;1006;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003->1001;0;513;0;MED;30;0;0;30;122,97;30;S1
1509;1009;Mafra;SEROQUEL XRO (C1) 200MG CX 30CPR ASTRAZENECA;ASTRAZENECA;Nacional 7%;Ativo;C;Não;BYANCA;1009;0;0;1;MED;0;0;0;0;1,00;30;S1
1546;1024;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1024;0;0;0;MED;2;0;0;2;39,50;30;S1,S2,S3
1546;1010;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1010;0;0;0;MED;0;0;0;0;1,00;30;S1,S2,S3
1546;1009;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1009;43;0;19;MED;35;0;0;35;41,17;30;S1,S2,S3
1546;1006;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1006;193;0;87;MED;140;0;0;140;35,12;30;S1,S2,S3
1546;1003;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1009->1003;0;0;0;MED;0;0;0;0;1,00;30;S1,S2,S3
1546;1006;Mafra;ROCEFIN IV 500MG FA 5ML ROCHE;ROCHE;Importado;Ativo;C;Não;BYANCA;1001;0;0;0;MED;154;0;0;154;41,23;30;S1,S2,S3
1778;1024;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1024;0;0;0;MED;0;0;0;0;1,00;75;S4
1778;1021;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1021;4;3;3;MED;8;0;0;12;227,50;75;S4
1778;1010;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1010;11;11;7;MED;21;0;0;32;880,10;75;S4
1778;1009;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009;9;51;6;MED;0;14;13;27;1,00;75;S4
1778;1006;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1006;83;0;58;MED;40;39;0;251;194,95;75;S4
1778;1003;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1003;4;3;3;MED;3;0;0;12;225,67;75;S4
1778;1002;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1002;0;0;0;MED;0;0;0;0;1,00;75;S4
1778;1006;Mafra;ALIMTA 100MG FA 10ML ELI LILLY;ELI LILLY;Isento - Convênio 162/94 - Novos - Exc. GO;Ativo;C;Não;BYANCA;1009->1001;0;96;0;MED;24;0;0;24;970,38;75;S4
1791;1024;Mafra;ROCEFIN IV 1G FA 10ML ROCHE;ROCHE;Importado;Ativo;A;Não;BYANCA;1024;501;0;130;MED;662;0;0;662;50,19;30;S1,S2,S3
1791;1023;Mafra;ROCEFIN IV 1G FA 10ML ROCHE;ROCHE;Importado;Ativo;A;Não;BYANCA;1009->1023;385;0;100;MED;246;0;0;246;49,05;30;S1,S2,S3
1791;1021;Mafra;ROCEFIN IV 1G FA 10ML ROCHE;ROCHE;Importado;Ativo;A;Não;BYANCA;1021;0;0;0;MED;965;0;0;965;49,50;30;S1,S2,S3
1791;1010;Mafra;ROCEFIN IV 1G FA 10ML ROCHE;ROCHE;Importado;Ativo;A;Não;BYANCA;1010;0;0;0;MED;12;0;0;12;47,33;30;S1,S2,S3
