codigo;filial;empresa;descricao;fornecedor;tributacao;status;curva;b_o_;comprador;rota;forecast;vendido;media;classe;estoque;po_compas;transferencias;estoque_total;CMV;politica;periodo;
1418;1024;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1024;0;4;0;MED;0;0;0;0;1,15;30;S1;
1418;1023;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1009->1023;0;139;0;MED;0;0;9;9;1,15;30;S1;
1418;1021;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1021;62;4;77;MED;105;2;0;107;123,11;30;S1;
1418;1010;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1010;0;0;0;MED;0;0;0;0;1,15;30;S1;
1418;1009;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1009;216;65;269;MED;234;0;0;234;123,12;30;S1;
1418;1006;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003->1006;474;0;589;MED;0;22;0;22;1,15;30;S1;
1418;1003;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003;0;0;0;MED;462;0;0;462;123,12;30;S1;
1418;1002;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1002;0;1;0;MED;0;0;0;0;1,15;30;S1;
1418;1006;Mafra;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;ASTRAZENECA;Importado;Ativo;B;Não;BYANCA;1003->1001;0;513;0;MED;30;0;0;30;123,12;30;S1;
1509;1009;Mafra;SEROQUEL XRO (C1) 200MG CX 30CPR ASTRAZENECA;ASTRAZENECA;Nacional 7%;Ativo;C;Não;BYANCA;1009;0;0;1;MED;0;0;0;0;1,15;30;S1;
